Id;DataAcesso;Hash;DataExpiracao;Cliente;TipoAcesso;LoginAtendente;TipoSessao;Origem
539;2018-06-27 00:00:20.667;f0cd1134cfd8400f34d5ad0b8606b473d328b6653d1886d9332d27dc59fe1c10d70ba1a72d5050894ade458957a6aabf4711da720555010a16254ec3394b3971;2018-06-27 01:30:20.667;111.111.111-11;1;NULL;NULL;NULL
540;2018-06-27 00:00:27.993;cfdd4760e51fda8f268706468306199cd781be72417b364cfd33aed9c40d6dbc2c0eb7079c3994970dbbd36dcb1910671e8b884c149dd7b6e79a39dee27482ae;2018-06-27 01:31:44.807;111.111.111-12;1;NULL;NULL;NULL
541;2018-06-27 00:03:40.817;9895b5f5ef307ff986bb2e22af5573d30b302f9fca30b55305d881193a6a18b6e0a4d01c5d1f93a2192a7f72c1fa05616ee9d36dec53497398f70cb73282c1e9;2018-06-27 01:33:40.817;111.111.111-13;1;NULL;NULL;NULL
542;2018-06-27 00:05:09.650;0d3dfd5923f81bff38aef2efa1809f4e5851169d859cb9ab114fc094f30517ab63b847b5922bd7bd490e14e3d533125c1e49dc9b416457ccffdbee0dbdec41cf;2018-06-27 01:35:09.650;111.111.111-14;1;NULL;NULL;NULL
543;2018-06-27 00:14:46.413;6fb868671668c9334fab13e3f0641b5d65b1f873762c0e2d224d8843c2a2a2ce7ea0b2f405111c98cb2daf19eae6eb12f750537ffcb9ad3134c1da6ea9dbee77;2018-06-27 01:46:23.797;111.111.111-15;1;NULL;NULL;NULL
544;2018-06-27 00:16:48.197;9e0937f267211056f6814083d997c216068aa352fefac8a15129a2ecd29a4192aaa601d5a6ca9f8a909fbcf6ac8530f6cf5cf286f637dd1561b6cc7207655e7c;2018-06-27 01:46:49.557;111.111.111-16;1;NULL;NULL;NULL
545;2018-06-27 00:17:26.567;66271be67feb3e540734917e489539be3063bf15aa95e96bf7ea029328db4db26bd11c546411a5fd39151105ddb7c9a008ab1bf2aff8e13b23de08bd27a62d50;2018-06-27 01:47:26.567;111.111.111-17;1;NULL;NULL;NULL
546;2018-06-27 00:29:28.900;27e5fa1b760c0a0226f581b4b508b670a74f58633065d0fb6cd141aa5aae14018113afd666216f68c06da2fb15f2f931ed44f07386ee391307d490b5c1cccf31;2018-06-27 02:05:03.820;111.111.111-18;3;NULL;NULL;100000016
547;2018-06-27 00:38:15.350;cd1a1d4178278002d09ab4ebacadac6caa7ace610fc88b7bebaeda9c563f81c089158348b2cefa0c8b21755a8f73f2c629a74b8917ad6aefbe929ff47058c0a7;2018-06-27 02:08:16.693;111.111.111-19;3;NULL;NULL;100000016
548;2018-06-27 00:54:29.943;148867f691e1d3637b8f1e377b5fc4990a813a6b54913e3070228fd8104ae10228bee3ac33cc4f1268d2ae4663fb33ba50bc276ecb86a97248096d9c531deab5;2018-06-27 02:27:23.410;111.111.111-20;1;NULL;NULL;100000016
549;2018-06-27 00:56:09.467;c620ebe6e79544fa2e0417303957a0961eb914e794dbfcb79bfee125aa3f88b7a5fa664152ac96b51b347f12d8744c11f10255d7881f6dd7ae8995d3dbb6465d;2018-06-27 02:29:35.080;111.111.111-21;1;NULL;NULL;100000016
550;2018-06-27 00:57:12.870;0e2f84a10ffa284f5518785dfb40884e9cf1b4d95121ef45bc81d06ea650f64c4ec559e00377df3e40ec277c42ed02abf69a1c0aaa24eb56bc52ef1d55a08f53;2018-06-27 02:29:10.920;111.111.111-22;1;NULL;NULL;100000016
551;2018-06-27 00:58:05.540;07c4f3d82eb602cec77847f1f41dc758c985fea2bf59fe09fe011d17f12b50e2b8ac92a35462b3caed394967769bffd42b3e76cfb82436779a8c2872116793db;2018-06-27 02:28:06.990;111.111.111-23;1;NULL;NULL;100000016
552;2018-06-27 00:59:51.110;973ce7cd3e6f2e5173a81972b196f8a5f8c27a5dffccf72982a7da3c9c18c33f3f54c13677960ec692a7f5295f1841c1a04a1c203a1cc4bd493eef128e066d34;2018-06-27 02:36:17.000;111.111.111-24;1;NULL;NULL;100000016
553;2018-06-27 01:00:36.137;4640861fdd6fa7e90f4c188d1fdfb090a4064b6579e570cbf4a0189f10618bd12693b6ef160663ec6bc0cf3fd6b73eecbe0eb3eee55ccdcd2b78bb252921b5a6;2018-06-27 02:30:37.437;111.111.111-25;1;NULL;NULL;100000016
554;2018-06-27 01:01:06.517;ad092f21e945e8972d3f14b4c8cfaf6f66dde99ce65a284153a15b74d1a697ce6bad93532082c24a9b484e13e57ca9c5704c4592b3fd8acdd238c702758ec176;2018-06-27 02:31:07.863;111.111.111-26;1;NULL;NULL;100000016
555;2018-06-27 01:01:25.433;a49dc599ca92e37d41f5f28305e6cd1b54dc55e8215f76ea03ba0efbb2f6557ec8772cce900b1a4b9fcedbc6bf508916198d612f8e532e94e992f4c87cf5b55e;2018-06-27 02:31:26.653;111.111.111-27;1;NULL;NULL;100000016
556;2018-06-27 01:02:07.100;3f1558a6f3891ba7589814d428de282ea54cf80af5159e7cddd7c8a3e6f340d1f43694335c8b57524efc27a4ea684fbac081e69166c7e876d3fe5adf0739e798;2018-06-27 02:32:09.027;111.111.111-28;1;NULL;NULL;100000016
557;2018-06-27 01:03:21.993;18c3b8124343dcacfce74942147f235c37efdd6504d4cfb95bc286f2256246a99d89c1d666f152f2f97298e31b564ad6d57bf13b65b0249d51c4bf6939def805;2018-06-27 02:39:12.677;111.111.111-29;1;NULL;NULL;100000016
