Id;DocumentoCliente;DataEvento;TipoEvento;TipoAcesso;IdAtendente;Pagina;Atividade;LogErro;Origem
13491;111.111.111-11;2018-06-28 16:26:34.6900000;2;2;00000000-0000-0000-0000-000000000001;16;Visualização da FALE_CONOSCO;;NULL
13493;111.111.111-12;2018-06-28 16:26:39.1630000;2;2;00000000-0000-0000-0000-000000000001;16;Visualização da FALE_CONOSCO;;NULL
13495;111.111.111-13;2018-06-28 16:26:43.5500000;2;2;00000000-0000-0000-0000-000000000001;6;Visualização da BENEFICIOS_VOCE;;NULL
13497;111.111.111-14;2018-06-28 16:26:48.2700000;2;2;00000000-0000-0000-0000-000000000001;6;Visualização da BENEFICIOS_VOCE;;NULL
13498;111.111.111-15;2018-06-28 16:27:11.7500000;2;2;00000000-0000-0000-0000-000000000001;16;Visualização da FALE_CONOSCO;;NULL
13499;111.111.111-16;2018-06-28 16:27:21.2670000;2;2;00000000-0000-0000-0000-000000000001;1;Visualização da HOME;;NULL
13501;111.111.111-17;2018-06-28 16:27:58.5670000;2;2;00000000-0000-0000-0000-000000000001;6;Visualização da BENEFICIOS_VOCE;;NULL
13502;111.111.111-18;2018-06-28 16:28:07.0570000;2;2;00000000-0000-0000-0000-000000000001;6;Visualização da BENEFICIOS_VOCE;;NULL
13504;111.111.111-19;2018-06-28 16:28:26.7530000;2;2;00000000-0000-0000-0000-000000000001;6;Visualização da BENEFICIOS_VOCE;;NULL
13505;111.111.111-20;2018-06-28 16:28:35.5030000;1;2;00000000-0000-0000-0000-000000000001;16;Criação em FALE_CONOSCO;Criação de Fale Conosco, CYR-1770715-Q1Z8;NULL
13506;111.111.111-21;2018-06-28 16:28:38.1200000;2;2;00000000-0000-0000-0000-000000000001;16;Visualização da FALE_CONOSCO;;NULL
13507;111.111.111-22;2018-06-28 16:28:41.4800000;2;2;00000000-0000-0000-0000-000000000001;16;Visualização da FALE_CONOSCO;;NULL
13508;111.111.111-23;2018-06-28 16:28:46.8400000;2;2;00000000-0000-0000-0000-000000000001;7;Visualização da DOCUMENTOS;;NULL
